100210,(M) Import ICCS Billing file,-daemon no -load_type 1 -mapping 100000,5000
100211,(M) Import SMSC/MR importer,-daemon no -load_type 1 -mapping 100001,5000
100212,(M) Import Mediation SMS Postpaid file importer,-daemon no -load_type 1 -mapping 100002,5000
100213,(M) Import Mediation SMS Postpaid strip file importer,-daemon no -load_type 1 -mapping 100003,5000
100214,(M) Import ICCS Rating file,-daemon no -load_type 1 -mapping 100004,5000
100263,(M) Import Discarded ICCS 2G non rated data - Jupiter TAP 1 Format,-daemon no -load_type 1 -mapping 100053,5000
100264,(M) Import Basset Extract (Tapout),-daemon no -load_type 1 -mapping 100054,5000
100267,"(M) Import MSS Output, Ericsson R13",-daemon no -load_type 1 -mapping 100057,5000
100268,(M) Import Xacct Files Output - MIS ASCII Format,-daemon no -load_type 1 -mapping 100058,5000
100270,(M) Import Xacct Files Output - WAP Jupiter TAP1 Output,-daemon no -load_type 1 -mapping 100060,5000
100271,(M) Import ER4 Files Jupiter TAP 1 Output ,-daemon no -load_type 1 -mapping 100061,5000
100272,(M) Import ER4 Files MIS Output ,-daemon no -load_type 1 -mapping 100062,5000
100273,(M) Import CCN Prepaid Data,-daemon no -load_type 1 -mapping 100063,5000
100274,(M) Import Raw MMS Files Output (Nokia),-daemon no -load_type 1 -mapping 100064,5000
100275,(M) Import CCN Prepaid MMS,-daemon no -load_type 1 -mapping 100065,5000
100277,(M) Import EMM Session to Mediation,-daemon no -load_type 1 -mapping 100067,5000
100278,(M) Import GPRS ICCS records,-daemon no -load_type 1 -mapping 100068,5000
100280,(M) Import MMS ICCS TAP1,-daemon no -load_type 1 -mapping 100070,5000
100281,(M) Import Eircom / BT Usage,-daemon no -load_type 1 -mapping 100071,5000
100286,(M) Import Syniverse,-daemon no -load_type 1 -mapping 100076,5000
100287,(M) Import EMM NGIN raw,-daemon no -load_type 1 -mapping 100077,5000
100288,(M) Import EMM NGIN correlated,-daemon no -load_type 1 -mapping 100078,5000
101000,(M) Run All,,1
102000,(M) Import Multi-job,,5000
103000,(M) Post-Import Multi Job,-daemon no -gatherStatsOption 3,1
104000,(M) All Node Multi Job,-rerun no -weekday -1,1
105000,(M) All Metric Reconciliations Multi Job,-mrec_graph_id 100001,35005
105100,(M) MSS vs MIS (count) - ST_VOICE_PREPAID_HOME_MO - EDR Count,-mrec_id 100000 -num_days 21 -offset 22,35005
105101,(M) MSS vs MIS (value) - ST_VOICE_PREPAID_HOME_MO - EDR Value,-mrec_id 100001 -num_days 21 -offset 22,35005
105102,(M) MSS vs MIS (duration) - ST_VOICE_PREPAID_HOME_MO - EDR Duration,-mrec_id 100002 -num_days 21 -offset 22,35005
105103,(M) MSS vs MIS (count) - ST_VOICE_PREPAID_HOME_CALL_FWD - EDR Count,-mrec_id 100003 -num_days 21 -offset 22,35005
105104,(M) MSS vs MIS (value) - ST_VOICE_PREPAID_HOME_CALL_FWD - EDR Value,-mrec_id 100004 -num_days 21 -offset 22,35005
105105,(M) MSS vs MIS (duration) - ST_VOICE_PREPAID_HOME_CALL_FWD - EDR Duration,-mrec_id 100005 -num_days 21 -offset 22,35005
105112,(M) MSS vs GSM (count) - ST_VOICE_POSTPAID_HOME_MO - EDR Count,-mrec_id 100012 -num_days 21 -offset 28,35005
105113,(M) MSS vs GSM (duration) - ST_VOICE_POSTPAID_HOME_MO - EDR Duration,-mrec_id 100013 -num_days 21 -offset 28,35005
105116,(M) GSM vs ICCS Unbilled (count) - ST_VOICE_POSTPAID_HOME_MO - EDR Count,-mrec_id 100016 -num_days 21 -offset 28,35005
105117,(M) GSM vs ICCS Unbilled (duration) - ST_VOICE_POSTPAID_HOME_MO - EDR Duration,-mrec_id 100017 -num_days 21 -offset 28,35005
105118,(M) GSM vs ICCS Unbilled (count) - ST_VOICE_POSTPAID_HOME_CALL_FWD - EDR Count,-mrec_id 100018 -num_days 21 -offset 28,35005
105119,(M) GSM vs ICCS Unbilled (duration) - ST_VOICE_POSTPAID_HOME_CALL_FWD - EDR Duration,-mrec_id 100019 -num_days 21 -offset 28,35005
105120,(M) MSS vs MIS (count) - ST_SMS_PREPAID - EDR Count,-mrec_id 100020 -num_days 21 -offset 22,35005
105122,(M) MSS vs MIS (count) - ST_SMS_HOME_MO - EDR Count,-mrec_id 100022 -num_days 21 -offset 28,35005
105124,(M) SMSC vs SMS ICCS + SMS Strip (count) - ST_SMS - EDR Count,-mrec_id 100024 -num_days 21 -offset 28,35005
105125,(M) SMS ICCS vs ICCS Unbilled (count) - ST_SMS_HOME_MO - EDR Count,-mrec_id 100025 -num_days 21 -offset 28,35005
105126,(M) Raw MMS vs CCN MMS (count) - ST_MMS_PREPAID_HOME_MO - EDR Count,-mrec_id 100026 -num_days 21 -offset 22,35005
105127,(M) Raw MMS vs MMS ICCS (count) - ST_MMS_POSTPAID_HOME_MO - EDR Count,-mrec_id 100027 -num_days 21 -offset 28,35005
105128,(M) MMS ICCS vs ICCS Unbilled (count) - ST_MMS_POSTPAID_HOME_MO - EDR Count,-mrec_id 100028 -num_days 21 -offset 28,35005
105129,(M) EMM data vs CCN Data (bytes) - ST_DATA_GPRS_PREPAID - EDR Bytes,-mrec_id 100029 -num_days 21 -offset 28,35005
105130,(M) EMM data vs CCN Data (bytes) - ST_DATA_WAP_PREPAID - EDR Bytes,-mrec_id 100030 -num_days 21 -offset 28,35005
105133,(M) EMM data vs GPRS ICCS (bytes) - ST_DATA_GPRS_POSTPAID - EDR Bytes,-mrec_id 100033 -num_days 21 -offset 28,35005
105134,(M) EMM data vs WAP ICCS (bytes) - ST_DATA_WAP_POSTPAID - EDR Bytes,-mrec_id 100034 -num_days 21 -offset 28,35005
105135,(M) GPRS ICCS vs ICCS Unbilled (bytes) - ST_DATA_GPRS_POSTPAID - EDR Bytes,-mrec_id 100035 -num_days 21 -offset 28,35005
105136,(M) WAP ICCS vs ICCS Unbilled (bytes) - ST_DATA_WAP_POSTPAID - EDR Bytes,-mrec_id 100036 -num_days 21 -offset 28,35005
105137,(M) Tapin vs ICCS Unbilled (count) - ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MO - EDR Count,-mrec_id 100037 -num_days 21 -offset 28,35005
105138,(M) Tapin vs ICCS Unbilled (duration) - ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MO - EDR Duration,-mrec_id 100038 -num_days 21 -offset 28,35005
105140,(M) Tapin vs ICCS Unbilled (count) - ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MT - EDR Count,-mrec_id 100040 -num_days 21 -offset 28,35005
105141,(M) Tapin vs ICCS Unbilled (duration) - ST_VOICE_OUTBOUND_POSTPAID_ROAMERS_MT - EDR Duration,-mrec_id 100041 -num_days 21 -offset 28,35005
